,Unnamed: 0,songs,artist,title,lyrics,enumerated_list,lyrics_not_found
219,19,SO DONE,The Kid LAROI,Top Songs of 2021: Canada,"TranslationsTürkçeEspañolFrançaisSO DONE Lyrics
Okay, I realize now, that everything that I did was wrong
Okay, I realize now, some things are better off said than done
Okay, I realize now, that maybe I'm not ready for love
Okay, I realize now, I finished us before we begun-un-un

I'm done, so done, I'm done with all the games you play
I'm numb, so numb, I'm numb to all the pain you bring
I'm tryna figure this all out for myself
I don't need you or nobody else, I'm done, so done
So done, so done, so done, so done, I'm done
(Oh no, no-no-no, no-no-no)

I think that it's time for you to realize
That I'm not gon' be here forever but I
Wish that I was, but you were the cause
For every lil' feelin' I'm feeling inside
Sometimes I sit and I think about why
I even trusted you, shit, I'm surprised
I'm walkin' away from you, it's about time
Want you to walk out and walk out of my life
And you, yeah, you (Yeah, you)
You stay on my mind way more than I would like for you to
And you, yeah, you
The reason I can't find no love, don't wanna find no one
You might also like
'Cause I'm done, so done, I'm done with all the games you play
I'm numb, so numb, I'm numb to all the pain you bring
I'm tryna figure this all out for myself
I don't need you or nobody else, I'm done, so done
So done, so done, so done, so done, I'm done76Embed",[],False
220,20,What You Know Bout Love,Pop Smoke,Top Songs of 2021: Canada,"TranslationsРусскийPortuguêsWhat You Know Bout Love Lyrics
Uh

Shawty go joggin' every morning (Every morning)
And she make me breakfast almost every morning (Every morning)
And she take a naked pic before she leave the door
I be wakin' up to pics before a nigga yawnin'
And every weekend my shawty comin' over (Over)
Shawty could Fendi out, but she like Fashion Nova (Nova)
She ain't drivin' no Camry, she pullin' in a Rover (Rover)
With her hair so curly, I love you, baby

She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (Oh)
Walk up in the store and get what you want (Go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (I love you, baby)
'Cause I like what I see (Oh)

Look, baby, I said I ain't gon' front (Uh)
You got my heart beatin' so fast to words I can't pronounce
And I be gettin' the chills every time I feel your touch
I be lookin' at the top and girl, it's only us
All I need is your trust
And girl I told you once, don't make me tell you twice (Word)
I know you see this print through my pants that I know you like (Like, nah)
And yo' ass be lookin' so fat when it be in them tights (In them tights)
And I'm goin' straight to the top, so hope you ain't afraid of heights
You always keep me right, for a fact, you never left (Left)
Through all the trials and tribulations, always had my best (My best)
So here's fifty-five hunnid, go and get your breasts (Your breasts)
Start rubbin' on your butt, start kissin' on your neck
Hey batter, batter, hey batter, batter (Batter)
Niggas know I had to swing, I had to make a play (Make a play)
I had to apply the pressure, 'cause you my hidden treasure
I think I'm fallin' in love
You might also like
She said, ""What you know 'bout love?"" (I'll tell you everything)
I got what you need (Oh)
Walk up in the store and get what you want (Go get it)
You get what you please
We 'bout to get it on, take off them drawers (I said I love you, baby)
It's just you and me
You know what I be on, I'm about to go raw (I love you, baby)
'Cause I like what I see76Embed",[],False
221,21,Wants and Needs (feat. Lil Baby),Drake,Top Songs of 2021: Canada,"New Music Friday 3/5/21 LyricsWhat’s Next - Drake
Hold On - Justin Bieber
Leave The Door Open  - Silk Sonic
Real As It Gets (feat. EST Gee) - Lil Baby
Serotonin - girl in red
Selfish Love (with Selena Gomez) - DJ Snake
Sacrifice - Bebe Rexha
Beautiful Mistakes (feat. Megan Thee Stallion) - Maroon 5
slower - Tate McRae
Spinning (with Charli XCX & The 1975) - No Rome
Wants and Needs (feat. Lil Baby) - Drake
Machu Picchu - Camilo
Life's A Mess II (with Clever & Post Malone) - Juice WRLD
Need Someone - Zara Larsson
Till Forеver Falls Apart - Ashe
Medicinе - James Arthur
Thugged Out (feat. Kodak Black) - YNW Melly
Really Like That - G Herbo
This Is Heaven - Nick Jonas
Growing Up - Thomas Rhett
We Don’t Talk Enough (with Alexander 23) - Quinn XCII
Ma' G - J Balvin
no sense - Baby Keem
Hellcats & Trackhawks - Only The Family
🐚
Pay Your Way In Pain - St. Vincent
Drink A Little Whiskey Down - Luke Bryan
1-800-miss-ur-guts - TRAMP STAMPS
Skywalker - Oliver Malcolm
Toast with the Butter - Blu DeTiger
You - Charlotte Lawrence
Freaky As Me (feat. Mulatto) - Jacquees
Drill Tumbado - Ovi
Aspen - Young Dolph
F Is For Friends (with Becky G & Tainy) - Trevor Daniel
Falling Up - Dean Lewis
Stormy Weather - Kings of Leon
Body & Soul (feat. Biig Piig) - Emotional Oranges
🕒
Things - Charlie Houston
🕒
do it right (feat. Aminé) - REI AMI
Be Sweet - Japanese Breakfast
Damn Shame - Funkmaster Flex
Built for Everything - Rexx Life Raj
🐚
Diplomatico (feat. Guaynaa) - Major Lazer
Problems - Don Diablo
Care At All - Bryce Vine
🐚
🐚
Dead Girl! - Au/Ra
Make My Mind Up - Tom Grennan
bored&blind - ella jane
LEAVE ME - Peach Tree Rascals
🕒
🐚
Trappin' Ain't Dead (feat. 42 Dugg) - Taleban Dooda
Las Nenas (feat. La Duraca) - Natti Natasha
Safe Passage - Laura Mvula
Don't Assume What You Don't Know - Grace VanderWaal
In His Arms - Jack Ingram
()
Miles to Go - Kaskade
🐚
Musician - Porter Robinson
Pussy - Bad Gyal
90210 - Angelo Mota
Parking Lot - Genevieve Stokes
Heartbroke - Clubhouse
Noya - Ayzha Nyree
🐚
Last Minute - BlueBucksClan
Soul Burden (feat. Fredo Bang) - LBS Kee'vin
Ricochet - Ryan Caraveo
()
Heavy Hearted - Taska Black
Don’t Call Me - Bailey Bryan
🕒
()
Amnesia (feat. GASHI) - Loud Luxury
Don't Deserve This - Nea
How it is - Walk Off the Earth
Palm Reader - DREAMERS
I Got Love - Mother Mother
Sunroof - Brooke Eden
Little Things - Danielle Apicella
Break With Me - SHY Martin
()
()
No Valet - Siena Liggins
Drama - Erika de Casier
F.A.B. - Mia Ariannaa
()
USAY - JAHMED
DENY - Boslen
🕒
JOSIE - Liza Owen
Jessica - Maja Kristina
🐚Embed",[],False
222,22,Lonely,"Justin Bieber, benny blanco",Top Songs of 2021: Canada,"TranslationsTürkçeEspañolPortuguêsPolskiItalianoDeutschFrançaisNederlandsLonely Lyrics
Everybody knows my name now
But somethin' 'bout it still feels strange
Like lookin' in a mirror, tryna steady yourself
And seein' somebody else
And everything is not the same now
It feels like all our lives have changed
Maybe when I'm older, it'll all calm down
But it's killin' me now

What if you had it all
But nobody to call?
Maybe then you'd know me
'Cause I've had everything
But no one's listening
And that's just fuckin' lonely

I'm so lo-o-o-onely
Lo-o-o-onely

Everybody knows my past now
Like my house was always made of glass
And maybe that's the price you pay
For the money and fame at an early age
And everybody saw me sick
And it felt like no one gave a shit
They criticized the things I did as an idiot kid
You might also like
What if you had it all
But nobody to call?
Maybe then you'd know me
'Cause I've had everything
But no one's listening
And that's just fuckin' lonely

I'm so lo-o-o-onely
Lo-o-o-onely
I'm so lo-o-o-onely
Lo-o-o-onely54Embed",[],False
225,25,Bad Habits,Ed Sheeran,Top Songs of 2021: Canada,"TranslationsTürkçeEspañolPortuguês日本語ItalianoDeutschفارسیΕλληνικάBad Habits Lyrics
(One, two, three, four)
Ooh, ooh

Every time you come around, you know I can't say no
Every time the sun goes down, I let you take control
I can feel the paradise before my world implodes
And tonight had something wonderful

My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this'll be the last, but it probably won't
I got nothin' left to lose, or use, or do
My bad habits lead to wide eyes starin' at space
And I know I lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's truе, it's true
My bad habits lead to you

Ooh-ooh, ooh-ooh
My bad habits lead to you
Ooh-ooh, ooh-ooh
My bad habits lеad to you
You might also like
Every pure intention ends when the good times start
Fallin' over everything to reach the first time's spark
It started under neon lights and then it all got dark
I only know how to go too far

My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this'll be the last, but it probably won't
I got nothin' left to lose, or use, or do
My bad habits lead to wide eyes starin' at space
And I know I lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true, it's true
My bad habits lead to you

Ooh-ooh, ooh-ooh
My bad habits lead to you
Ooh-ooh, ooh-ooh

We took the long way 'round
And burned 'til the fun ran out, now
My bad habits lead to late nights endin' alone
Conversations with a stranger I barely know
Swearin' this'll be the last, but it probably won't
I got nothin' left to lose, or use, or do
My bad habits lead to wide eyes starin' at space
And I know I lose control of the things that I say
Yeah, I was lookin' for a way out, now I can't escape
Nothin' happens after two, it's true, it's true
My bad habits lead to you

Ooh-ooh, ooh-ooh
My bad habits lead to you
Ooh-ooh, ooh-ooh
My bad habits lead to you59Embed",[],False
227,27,Martin & Gina,Polo G,Top Songs of 2021: Canada,"TranslationsEspañolPolskiFrançaisMartin & Gina Lyrics
(Tahj Money)
(I bet my last track probably gave you lockjaw, hey, Lilkdubb)

I think about you on the road when I tear down the booth
Girl, I can't wait 'til I get home to fuck the shit out of you
Even on your worst days, girl, you still kind of cute
If it go down, I'm gon' protect you, pull that stick out and shoot
All I want is your love, I can't see no bitch after you
Off emotions, we did things that we didn't have to do
Scared of you leaving, I told lies when you asked for the truth
I second-guessed if you the one, that's when I didn't have a clue
They be Martin and Gina, but we ain't think about behind the scenes
The way I kill it, lose her voice when she tryin' to scream
We from the trenches, we moved onto the finer things
Now you done went from H&M to a designer fiend

He was playing games, got you dancing in the middle of the club
Got you dancing in the middle of the club
I know what you chasing, you can only get this feeling from a thug
You can only get this feeling from a thug
Tears falling, and it's liquor in your cup, all you really want is love
Baby, all you really want is love
Only talk to bosses, independent, can't be fucking with a scrub
Girl, I know you can't be fucking with a scrub (Kdubb)
You might also like
I get this feeling in my stomach when you next to me
Man, I'm tryna get to know you sexually
Take you on shopping sprees for therapy
Move you out to Cali', in my mansion takin' care of me
I know sometime I'm crazy, I was hopin' you could bear with me
Beauty and the beast, pretty girl with a gangster
I swear you still the baddest in the room with no makeup
You the type of woman every hood nigga pray for
I vow to stay a hundred, never change up
In that sundress, damn, your body so amazing
Love the way you smell, I'm addicted to your fragrance
It's somethin' about you, but I really can't explain it
Just know that you mine, I tell that nigga he can save it

He was playing games, got you dancing in the middle of the club
Got you dancing in the middle of the club
I know what you chasing, you can only get this feeling from a thug
You can only get this feeling from a thug
Tears falling, and it's liquor in your cup, all you really want is love
Baby, all you really want is love
Only talk to bosses, independent, can't be fucking with a scrub
Girl, I know you can't be fucking with a scrub63Embed",[],False
228,28,deja vu,Olivia Rodrigo,Top Songs of 2021: Canada,"TranslationsTürkçeSvenskaEspañolPortuguêsPortuguêsNorsk (bokmål / riksmål)ItalianoDeutschFrançais​deja vu Lyrics
Car rides to Malibu
Strawberry ice cream, one spoon for two
And tradin' jackets
Laughin’ 'bout how small it looks on you
(Ha-ha-ha-ha, ha-ha-ha-ha-ha, ha-ha-ha-ha)
Watching reruns of Glee
Bein' annoying, singin’ in harmony
I bet she's braggin' to all her friends, sayin' you're so unique, hmm

So when you gonna tell her that we did that, too?
She thinks it's special, but it's all reused
That was our place, I found it first
I made the jokes you tell to her when she's with you
Do you get déjà vu when she’s with you?
Do you get déjà vu? (Ah) Hmm
Do you get déjà vu, huh?

Do you call her, almost say my name?
’Cause let's be honest, we kinda do sound the same
Another actress
I hate to think that I was just your type
And I bet that she knows Billy Joel
’Cause you played her ""Uptown Girl""
You're singin' it together
Now I bet you even tell her how you love her
In between the chorus and the verse (Ooh; I love you)
You might also like
So when you gonna tell her that we did that, too?
She thinks it's special, but it’s all reused
That was the show we talked about
Played you the songs she's singing now when she's with you
Do you get déjà vu when she's with you?
Do you get déjà vu? (Oh-oh)
Do you get déjà vu?
Strawberry ice cream in Malibu
Don't act like we didn't do that shit, too
You're tradin' jackets like we used to do
(Yeah, everything is all reused)
Play her piano, but she doesn't know (Oh, oh)
That I was the one who taught you Billy Joel (Oh)
A different girl now, but there's nothing new
I know you get déjà vu
I know you get déjà vu
I know you get déjà vu190Embed",[],False
229,29,you broke me first,Tate McRae,Top Songs of 2021: Canada,"TranslationsTürkçeEspañolPortuguêsItalianoFrançaisفارسی​you broke me first Lyrics
You broke me first

Maybe you don't like talking too much about yourself
But you shoulda told me that you were thinking 'bout someone else
You're drunk at a party or maybe it's just that your car broke down
Your phone's been off for a couple of months, so you're calling me now
I know you, you're like this
When shit don't go your way, you needed me to fix it
And like me, I did
But I ran out of every reason

Now suddenly, you're asking for it back
Could you tell me, where'd you get the nerve?
Yeah, you could say you miss all that we had
But I don't really care how bad it hurts
When you broke me first
You broke me first

Took a while, was in denial when I first heard
That you moved on quicker than I could've ever, you know that hurt
Swear for a while, I would stare at my phone just to see your name
But now that it's there, I don't really know what to say
You might also like
I know you, you're like this
When shit don't go your way, you needed me to fix it
And like me, I did
But I ran out of every reason

Now suddenly, you're asking for it back
Could you tell me, where'd you get the nerve?
Yeah, you could say you miss all that we had
But I don't really care how bad it hurts
When you broke me first
You broke me first
What did you think would happen?
What did you think would happen?
I'll never let you have it
What did you think would happen?

Now suddenly, you're asking for it back
Could you tell me, where'd you get the nerve?
Yeah, you could say you miss all that we had
But I don't really care how bad it hurts
When you broke me first
You broke me first (You broke me first)
You broke me first, ooh-oh71Embed",[],False
230,30,Dance Monkey,Tones And I,Top Songs of 2021: Canada,"TranslationsTürkçeEspañolРусскийDeutschFrançaisفارسیDance Monkey Lyrics
They say, ""Oh my God, I see the way you shine
Take your hands, my dear, and place them both in mine""
You know you stopped me dead while I was passing by
And now I beg to see you dance just one more time

Ooh, I see you, see you, see you every time
And oh my, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you’re done, I'll make you do it all again""

I said, ""Oh my God, I see you walking by
Take my hands, my dear, and look me in my eyes""
Just like a monkey, I've been dancin’ my whole life
But you just beg to see me dance just one more time
You might also like
Ooh, I see you, see you, see you every time
And oh my, I, I like your style
You, you make me, make me, make me wanna cry
And now I beg to see you dance just one more time

So they say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you're done, I'll make you do it all again""

Ooh, ooh, ooh, ooh, ooh
Oh-oh, oh-oh, oh
Ooh, ooh, ooh, ooh, ooh-ooh
Ooh, ah-ah, ah-ah
They say
""Dance for me, dance for me, dance for me, oh-oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you’re done, I’ll make you do it all again""
They say
""Dance for me, dance for me, dance for me, oh-oh-oh, oh-oh, oh-oh
I've never seen anybody do the things you do before""
They say
""Move for me, move for me, move for me, ayy-ayy-ayy
And when you’re done, I'll make you do it all again
All again""113Embed",[],False
234,34,Watermelon Sugar,Harry Styles,Top Songs of 2021: Canada,"TranslationsDeutschTürkçeEspañolPortuguêsPolskiNorsk (bokmål / riksmål)ČeskyWatermelon Sugar Lyrics
Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want more berries and that summer feelin'
It's so wonderful and warm

Breathe me in, breathe me out
I don't know if I could ever go without
I'm just thinking out loud
I don't know if I could ever go without

Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar

Strawberries on a summer evenin'
Baby, you're the end of June
I want your belly and that summer feelin'
Getting washed away in you

Breathe me in, breathe me out
I don't know if I could ever go without
You might also like
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high

I just wanna taste it, I just wanna taste it
Watermelon sugar high

Tastes like strawberries on a summer evenin'
And it sounds just like a song
I want your belly and that summer feelin'
I don't know if I could ever go without

Watermelon sugar high
Watermelon sugar high
Watermelon sugar high (Sugar)
Watermelon sugar high (Sugar)
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
Watermelon sugar high
I just wanna taste it, I just wanna taste it (Eh-eh-eh)
Watermelon sugar high
I just wanna taste it, I just wanna taste it (Ooh, yeah)
Watermelon sugar high
Watermelon sugar116Embed",[],False
235,35,Be Like That,"Kane Brown, Swae Lee, Khalid",Top Songs of 2021: Canada,"Be Like That Lyrics
I might be better on my own
I hate you blowin' up my phone
I wish I never met your ass
Sometimes it be like that
But I'm not myself the nights you're gone
There ain't no way I'm movin' on
I'm not afraid to need you bad
Sometimes it be like that

We both wanna love
We both wanna slide
We both wanna argue until we're both right
And you want a hug
I kiss you goodnight
Maybe we're both just out of our mind (Ooh)
And you throw tantrums while I'm twistin' up
No medicine is fixin' us
Can't tell you why but tell you what
You got me thinkin'

I might be better on my own
I hate you blowin' up my phone
I wish I never met your ass
Sometimes it be like that
But I'm not myself the nights you're gone
There ain't no way I'm movin' on
I'm not afraid to need you bad (Bad)
Sometimes it be like that
You might also like
I cross the seas wit' you (Hey, seas)
Wasn't even supposed to be wit' you (Yeah, be)
Yeah, and it gets crazy in the night
I cannot sleep with you (Sleep with you)
And I could keep you nice and warm (Ayy)
Won't do no thinking, I'm in love (Yeah, yeah)
If I was to give you the world (Yeah)
That's anything that you can think of (Of)

Got too much goin' to be upset
I swear I'd rather be your friend
I said I'm gonna be right back
It hurts, sometimes it be like that

I might be better on my own
I hate you blowin' up my phone
I wish I never met your ass
Sometimes it be like that
But I'm not myself the nights you're gone
There ain't no way I'm movin' on
I'm not afraid to need you bad (Bad)
Sometimes it be like that
Sometimes, when you thought you found the love of your life (Ooh, ooh, ooh)
Now you're thinkin' I'm just one of those guys, leading on
I can't help when you read it wrong
Don't know why I trip on us
You put me down, I pick you up
Can't tell you why but tell you what (You should know that)
You got me thinkin'

I might be better on my own
I hate you blowing up my phone
I wish I never met your ass
Sometimes it be like that
But I'm not myself the nights you're gone
There ain't no way I'm movin' on
I'm not afraid to need you bad
Sometimes it be like that

Yeah, yeah
Sometimes when you're fallin' off track
Baby, don't you leave me like that
Don't cry
'Cause we're both just out of our mind, yeah, ayy-ayy17Embed",[],False
237,37,Savage Love (Laxed - Siren Beat),"Jawsh 685, Jason Derulo",Top Songs of 2021: Canada,"TranslationsTürkçeSavage Love (Laxed - Siren Beat) Lyrics
Jason Derulo, ah
Savage love (685, baby)

If I woke up without ya, I don't know what I would do
Thought I could be single forever till I met you
Usually don't be fallin', be fallin', fallin' fast
You got a way of keepin' me comin' back-to-back
I just found out, the only reason that you lovin' me
Was to get back at your ex lover but before you leave
Usually I would never, would never even care
Baby, I know she creepin', I feel it in the air

Every night and every day (Every day)
I try to make you stay, but your

Savage love
Did somebody, did somebody break your heart?
Lookin' like an angel, but your savage love
When you kiss me, I know you don't give two fucks
But I still want that

Your savage love
Your savage lo-lo-love
Your savage lo-lo-love
You could use me 'cause I still want that (Your savage love)
You might also like
Baby, I hope that this ain't karma 'cause I get around
You wanna run it up, I wanna lock it down
Usually don't be fallin', be fallin', fallin' fast
You got a way of makin' me spend up all my cash

Every night and every day (Every day)
I try to make you stay, but your

Savage love, did somebody
Did somebody break your heart?
Lookin' like an angel, but your savage love
When you kiss me, I know you don't give two fucks
But I still want that

Your savage love
Your savage lo-lo-love (Ooh)
Your savage lo-lo-love
You could use me
'Cause I still want that your savage love

(Ooh, la-la-la-la, ooh, la-la-la-la)
Your savage lo-lo-love
(Ooh, la-la-la-la, ooh, la-la-la-la, ooh)
Your savage lo-lo-love
(Ooh, la-la-la-la)
You could use me
(Ooh, la-la-la-la)
Baby
Savage love (Oh, girl)
Did somebody, did somebody break your heart?
Lookin' like an angel, but your savage love (Savage love)
When you kiss me, I know you don't give two fucks
But I still want that

Your savage love (Savage love)
Your savage lo-lo-love (Ooh, yeah)
Your savage lo-lo-love
Girl, you could use me
'Cause I still want that your savage love25Embed",[],False
238,38,Monster,"Shawn Mendes, Justin Bieber",Top Songs of 2021: Canada,"TranslationsTürkçeEspañolСрпскиРусскийPortuguêsDeutschFrançaisفارسیMonster Lyrics
You put me on a pedestal and tell me I'm the best
Raise me up into the sky until I'm short of breath (Yeah)
Fill me up with confidence, I say what's in my chest
Spill my words and tear me down until there's nothin' left
Rearrange the pieces just to fit me with the rest, yeah

But what if I, what if I trip?
What if I, what if I fall?
Then am I the monster?
Just let me know
And what if I, what if I sin?
And what if I, what if I break? Yeah
Then am I the monster? Yeah
Just let me know, yeah

I was fifteen when the world put me on a pedestal
I had big dreams of doin' shows and making memories
Made some bad moves tryin' to act cool, upset by their jealousy, uh
Liftin' me up (Liftin' me up), liftin' me up (Yeah)
And tearin' me down (Down), tearin' me down (Down, down, yeah)
I'll take responsibility for everything I've done (Yeah)
Holdin' it against me like you're the holy one (Yeah)
You might also like
I had a chip on my shoulder, had to let it go
'Cause unforgiveness keeps them in control
I came in with good intentions, then I let it go
And now I really wanna know

What if I, what if I trip? (Oh)
What if I, what if I fall? (I fall)
Then am I the monster? (Am I the monster?)
Just let me know (Let me know)
And what if I, what if I sin? (Oh)
And what if I, what if I break? Yeah (What if I break?)
Then am I the monster? (Am I the monster?)
Just let me know (Oh, please just let me know, yeah)

La-da-da-duh-duh (Baby, what if I fall down?)
La-da-da-duh-duh-duh-na
La-da-da-da-duh-duh
La-da-da-duh-duh-duh-na
La-da-da-duh-duh (Please don't let me fall)
La-da-da-duh-duh-duh-na
La-da-da-da-duh-duh (Oh, please don't let me fall)
La-da-da-duh-duh-duh-na54Embed",[],False
239,39,Hold On,Justin Bieber,Top Songs of 2021: Canada,"TranslationsTürkçeEspañolPortuguêsDeutschHold On Lyrics
You know you can call me if you need someone
I'll pick up the pieces if you come undone

Painting stars up on your ceiling
'Cause you wish that you could find some feeling, yeah, you
You know you can call me if you need someone

I need you to hold on
Heaven is a place not too far away
We all know I should be the one
To say we all make mistakes (We all make mistakes)
Take my hand and hold on
Tell me everything that you need to say
'Cause I know how it feels to be someone (Someone)
Feels to be someone who loses their way

You're looking for answers in a place unknown
You need the connection but you can't get close (Can't get close)

Painting stars up on your ceiling
'Cause you wish that you could find some feeling, yeah, you
You know you can call me if you need someone
You might also like
I need you to hold on (Hold on)
Heaven is a place not too far away (Away, yeah)
We all know I should be the one
To say we all make mistakes (We all make mistakes)
Take my hand and hold on (Oh, oh, oh-woah, oh-woah)
Tell me everything that you need to say
'Cause I know how it feels to be someone
Feels to be someone who loses their way

Midnight 'til morning
Call if you need somebody
I will be there for you (I will be there for you)
Midnight 'til morning
Call if you need somebody
I will be there for you

I need you to hold on
Heaven is a place not too far away
We all know I should be the one
To say we all make mistakes (We all make mistakes)
Take my hand and hold on (Hold on)
Tell me everything that you need to say
'Cause I know how it feels to be someone (Ooh, yeah)
Feels to be someone who loses their way
Midnight 'til morning
Call if you need somebody
I will be there for you (Oh, yeah, yeah)
Midnight 'til morning
Call if you need somebody
I will be there for you28Embed",[],False
240,40,Calling My Phone,"Lil Tjay, 6LACK",Top Songs of 2021: Canada,"TranslationsItalianoTürkçeFrançaisDeutschCalling My Phone Lyrics
Steady callin' my phone
I done told you before that it's over, leave me 'lone
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back
But trust me, you're gon' hold that
Hold that (Mmm, mmm)

Get you off my mind now
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now (Mmm, mmm)
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now
I can't get you off my mind now (Mmm, mmm)

I ain't tryna play these games no more
I don't wanna be textin' your name no more
I ain't tryna feel this pain no more
Girl, I'm sorry, but my feelings ain't the same no more (No)
Used to be my homie, you ain't gang no more (No)
I am not a nigga you could claim no more (No)
Traumatized, hoping it don't rain no more
You done put me through some things that done changed my aura
Now all around the world, I explore, no Dora
New bitch, I might drip her in Dior
Ass fat, shawty straight heat, no Florida
Bad and she do it for herself, I applaud her
No needs, yeah, I'm talkin' my boo
So please, leave me alone I'm through
And it's all 'cause what you started
I been told you you gon' lose (Mmm)
You might also like
Steady callin' my phone (Brrt)
I done told you before that it's over, leave me 'lone
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back (Go back)
But trust me, you're gon' hold that
Hold that (Mmm, mmm)

Get you off my mind now (Ooh, wow)
I can't get you off my mind now (Yeah, yeah)
I can't get you off my mind now (My mind)
I can't get you off my mind now (Mmm, mmm) (Alright)
I can't get you off my mind now (Woah)
I can't get you off my mind now (Woah)
I can't get you off my mind now (Yeah)
I can't get you off my mind now (Mmm, mmm)

I ain't tryna play no games, my love
I'm one of a kind, couldn't fake, my love
Earthquake, make somethin' shake, my love
Most of them can't even relate, my love
Used to be gang, oh, now you're not gang
Used to have fun, no, now you got shame
Used to catch flights, but now I'm not playin'
Play on words, she love it when a nigga sing
I ain't tryna play your game no more
No, you can't wear my chain no more
We are not a thing, can't take no more
Waitin' on your king, you could wait some more
Yeah, I remember days when I used to adore her
Funny how this shit just flipped like a quarter
Get a new thing, I'ma Fendi and Dior her
Get a mood swing, I'll be gone by tomorrow (Mmm, mmm)
Steady callin' my phone (Brrt)
I done told you before that it's over, leave me 'lone (Yeah, yeah)
Know it's hurtin' you to see me gone
Dark clouds, you gon' see me storm
I won't go back (I won't go back)
But trust me, you're gon' hold that (Hold that)
Hold that (Mmm, mmm)

Get you off my mind now (Mind)
I can't get you off my mind now (Mind)
I can't get you off my mind now (Mind)
I can't get you off my mind now (Mmm, mmm) (Mind)
I can't get you off my mind now (Mind)
I can't get you off my mind now (Mind)
I can't get you off my mind now (Yeah)
I can't get you off my mind now (Mmm, mmm)
I can't230Embed",[],False
